filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
eu-2005.egr,2369,862664,32276936,100000,7.63826,5.08,1.24,1.06,0.24,0.01
eu-2005.egr,2346,862664,32276936,100000,7.63358,4.99,1.32,1.07,0.24,0.01
eu-2005.egr,336,862664,32276936,100000,7.64108,5.02,1.3,1.06,0.25,0.01
eu-2005.egr,2540,862664,32276936,100000,7.63426,5.22,1.1,1.06,0.25,0.01
eu-2005.egr,1712,862664,32276936,100000,7.63315,5.03,1.28,1.07,0.24,0.01
eu-2005.egr,191,862664,32276936,10000,7.63113,5.02,1.29,1.07,0.24,0.01
eu-2005.egr,191,862664,32276936,10000,7.63185,5.02,1.3,1.06,0.24,0.01
eu-2005.egr,219,862664,32276936,10000,7.62521,5.13,1.18,1.06,0.24,0.01
eu-2005.egr,230,862664,32276936,10000,7.63483,5.13,1.19,1.06,0.25,0.01
eu-2005.egr,100,862664,32276936,10000,7.62186,5.05,1.26,1.06,0.24,0.01
eu-2005.egr,6,862664,32276936,100,6.58355,4.97,0.29,1.07,0.25,0.01
eu-2005.egr,5,862664,32276936,100,6.58235,5.02,0.24,1.06,0.24,0.01
eu-2005.egr,2,862664,32276936,100,6.57566,5.02,0.24,1.07,0.24,0.01
eu-2005.egr,1,862664,32276936,100,7.63137,5.09,1.22,1.06,0.24,0.01
eu-2005.egr,5,862664,32276936,100,6.58066,4.97,0.3,1.06,0.24,0.01
eu-2005.egr,22,862664,32276936,1000,6.5832,5.04,0.23,1.06,0.24,0.01
eu-2005.egr,19,862664,32276936,1000,6.57263,4.95,0.3,1.07,0.24,0.01
eu-2005.egr,18,862664,32276936,1000,7.62517,4.97,1.34,1.06,0.24,0.01
eu-2005.egr,29,862664,32276936,1000,6.57903,4.95,0.31,1.06,0.24,0.01
eu-2005.egr,15,862664,32276936,1000,6.57464,5.04,0.22,1.06,0.24,0.01
