filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
higgs-twitter.egr,2582,456626,25017136,100000,7.61379,4.05,2.28,1.06,0.21,0.01
higgs-twitter.egr,2803,456626,25017136,100000,7.61176,4.0,2.33,1.06,0.21,0.01
higgs-twitter.egr,2588,456626,25017136,100000,7.60965,3.95,2.38,1.06,0.21,0.01
higgs-twitter.egr,2717,456626,25017136,100000,7.6119,4.03,2.3,1.07,0.21,0.01
higgs-twitter.egr,2641,456626,25017136,100000,7.60871,3.94,2.39,1.06,0.21,0.01
higgs-twitter.egr,266,456626,25017136,10000,7.60753,4.02,2.3,1.06,0.21,0.01
higgs-twitter.egr,264,456626,25017136,10000,7.60324,3.94,2.38,1.06,0.21,0.01
higgs-twitter.egr,245,456626,25017136,10000,7.60222,3.98,2.33,1.07,0.21,0.01
higgs-twitter.egr,289,456626,25017136,10000,7.60961,4.0,2.32,1.06,0.21,0.01
higgs-twitter.egr,263,456626,25017136,10000,7.6007,3.96,2.36,1.06,0.21,0.01
higgs-twitter.egr,4,456626,25017136,100,5.49218,3.96,0.25,1.06,0.21,0.01
higgs-twitter.egr,3,456626,25017136,100,5.49791,4.01,0.2,1.06,0.21,0.01
higgs-twitter.egr,3,456626,25017136,100,5.48984,3.98,0.23,1.06,0.21,0.01
higgs-twitter.egr,5,456626,25017136,100,6.54014,4.02,1.23,1.06,0.21,0.01
higgs-twitter.egr,2,456626,25017136,100,5.48736,4.0,0.21,1.06,0.21,0.01
higgs-twitter.egr,23,456626,25017136,1000,6.54688,4.14,1.13,1.06,0.21,0.01
higgs-twitter.egr,20,456626,25017136,1000,6.54277,4.01,1.24,1.07,0.21,0.01
higgs-twitter.egr,19,456626,25017136,1000,6.5449,4.06,1.2,1.06,0.21,0.01
higgs-twitter.egr,25,456626,25017136,1000,6.54216,4.05,1.2,1.06,0.21,0.01
higgs-twitter.egr,37,456626,25017136,1000,6.54122,4.14,1.12,1.06,0.21,0.01
