filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
hollywood-2009.egr,1520,1139905,112840436,100000,8.72924,5.89,1.49,1.06,0.28,0.01
hollywood-2009.egr,1402,1139905,112840436,100000,8.74186,5.73,1.65,1.07,0.28,0.01
hollywood-2009.egr,1478,1139905,112840436,100000,8.7358,5.69,1.69,1.07,0.28,0.01
hollywood-2009.egr,1455,1139905,112840436,100000,8.73942,5.59,1.79,1.07,0.28,0.01
hollywood-2009.egr,1506,1139905,112840436,100000,8.74167,5.82,1.56,1.07,0.28,0.01
hollywood-2009.egr,154,1139905,112840436,10000,8.72927,5.86,1.52,1.07,0.28,0.01
hollywood-2009.egr,154,1139905,112840436,10000,8.72949,5.81,1.57,1.07,0.28,0.01
hollywood-2009.egr,157,1139905,112840436,10000,8.72807,5.87,1.5,1.07,0.28,0.01
hollywood-2009.egr,118,1139905,112840436,10000,8.72076,5.7,1.66,1.06,0.28,0.01
hollywood-2009.egr,140,1139905,112840436,10000,8.72724,5.94,1.43,1.07,0.28,0.01
hollywood-2009.egr,1,1139905,112840436,100,7.66835,5.87,0.45,1.06,0.28,0.01
hollywood-2009.egr,2,1139905,112840436,100,7.66908,5.66,0.66,1.06,0.28,0.01
hollywood-2009.egr,3,1139905,112840436,100,7.68033,5.64,0.68,1.07,0.28,0.01
hollywood-2009.egr,3,1139905,112840436,100,7.67462,5.71,0.61,1.07,0.28,0.01
hollywood-2009.egr,3,1139905,112840436,100,7.67151,5.65,0.66,1.07,0.28,0.01
hollywood-2009.egr,16,1139905,112840436,1000,7.67783,5.68,0.64,1.07,0.28,0.01
hollywood-2009.egr,12,1139905,112840436,1000,7.67813,5.78,0.54,1.07,0.28,0.01
hollywood-2009.egr,10,1139905,112840436,1000,7.67184,5.77,0.54,1.07,0.28,0.01
hollywood-2009.egr,14,1139905,112840436,1000,7.66188,5.64,0.66,1.06,0.28,0.01
hollywood-2009.egr,13,1139905,112840436,1000,7.66958,5.79,0.53,1.06,0.28,0.01
