filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
hugebubbles-00020.egr,31800,21198119,63580358,100000,57.6832,48.51,6.19,1.9,1.07,0.01
hugebubbles-00020.egr,38015,21198119,63580358,100000,54.5542,45.52,6.21,1.74,1.08,0.01
hugebubbles-00020.egr,39677,21198119,63580358,100000,57.6936,47.76,6.2,2.65,1.07,0.01
hugebubbles-00020.egr,55458,21198119,63580358,100000,73.4959,63.38,6.22,2.81,1.08,0.01
hugebubbles-00020.egr,25341,21198119,63580358,100000,75.5548,65.38,6.19,2.9,1.07,0.01
hugebubbles-00020.egr,6085,21198119,63580358,10000,60.2406,49.34,7.71,2.12,1.07,0.01
hugebubbles-00020.egr,4769,21198119,63580358,10000,74.4732,64.32,6.16,2.9,1.07,0.01
hugebubbles-00020.egr,639,21198119,63580358,10000,71.6828,60.33,8.64,1.63,1.07,0.01
hugebubbles-00020.egr,5489,21198119,63580358,10000,63.0094,53.95,6.16,1.71,1.18,0.01
hugebubbles-00020.egr,5593,21198119,63580358,10000,79.7109,69.17,6.15,3.3,1.07,0.01
hugebubbles-00020.egr,60,21198119,63580358,100,54.4795,46.45,6.15,0.8,1.07,0.01
hugebubbles-00020.egr,62,21198119,63580358,100,75.4956,67.11,6.14,1.15,1.08,0.01
hugebubbles-00020.egr,43,21198119,63580358,100,59.696,53.23,5.07,0.32,1.06,0.01
hugebubbles-00020.egr,51,21198119,63580358,100,76.5424,68.3,6.15,1.0,1.07,0.01
hugebubbles-00020.egr,61,21198119,63580358,100,64.9772,57.19,6.15,0.56,1.07,0.01
hugebubbles-00020.egr,511,21198119,63580358,1000,76.5444,68.54,6.15,0.76,1.08,0.01
hugebubbles-00020.egr,586,21198119,63580358,1000,69.1936,60.96,6.15,0.99,1.08,0.01
hugebubbles-00020.egr,511,21198119,63580358,1000,66.7521,59.2,5.81,0.65,1.07,0.01
hugebubbles-00020.egr,558,21198119,63580358,1000,75.4966,67.14,6.16,1.11,1.07,0.01
hugebubbles-00020.egr,466,21198119,63580358,1000,62.0664,54.76,5.32,0.9,1.07,0.01
