filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
in-2004.egr,773,1382908,27183212,100000,8.72948,6.29,1.07,1.07,0.29,0.01
in-2004.egr,906,1382908,27183212,100000,8.73355,6.14,1.23,1.07,0.29,0.01
in-2004.egr,642,1382908,27183212,100000,8.72011,6.17,1.19,1.06,0.29,0.01
in-2004.egr,783,1382908,27183212,100000,8.72554,6.25,1.11,1.06,0.29,0.01
in-2004.egr,823,1382908,27183212,100000,8.73147,6.12,1.25,1.06,0.29,0.01
in-2004.egr,97,1382908,27183212,10000,8.72562,6.16,1.2,1.06,0.29,0.01
in-2004.egr,97,1382908,27183212,10000,8.73,6.24,1.12,1.07,0.29,0.01
in-2004.egr,70,1382908,27183212,10000,8.71105,6.24,1.11,1.06,0.29,0.01
in-2004.egr,86,1382908,27183212,10000,8.73136,6.28,1.09,1.07,0.29,0.01
in-2004.egr,83,1382908,27183212,10000,8.7318,6.12,1.24,1.06,0.29,0.01
in-2004.egr,3,1382908,27183212,100,8.7169,6.27,1.08,1.06,0.29,0.01
in-2004.egr,1,1382908,27183212,100,8.73027,6.24,1.12,1.07,0.29,0.01
in-2004.egr,2,1382908,27183212,100,8.72823,6.39,0.97,1.07,0.29,0.01
in-2004.egr,2,1382908,27183212,100,8.72059,6.24,1.12,1.06,0.29,0.01
in-2004.egr,1,1382908,27183212,100,8.71969,6.17,1.2,1.06,0.29,0.01
in-2004.egr,8,1382908,27183212,1000,8.72496,6.45,0.91,1.07,0.29,0.01
in-2004.egr,15,1382908,27183212,1000,8.72154,6.3,1.07,1.06,0.29,0.01
in-2004.egr,13,1382908,27183212,1000,8.72523,6.22,1.14,1.07,0.29,0.01
in-2004.egr,8,1382908,27183212,1000,8.72158,6.16,1.2,1.06,0.29,0.01
in-2004.egr,7,1382908,27183212,1000,8.71662,6.26,1.09,1.06,0.29,0.01
