filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
kmer_P1a.egr,60979,139353211,297845870,100000,288.879,242.77,39.36,5.68,1.06,0.01
kmer_P1a.egr,45579,139353211,297845870,100000,279.095,232.68,39.38,5.96,1.06,0.01
kmer_P1a.egr,42708,139353211,297845870,100000,281.02,234.9,39.35,5.69,1.07,0.01
kmer_P1a.egr,55229,139353211,297845870,100000,279.385,233.2,39.36,5.75,1.06,0.01
kmer_P1a.egr,66939,139353211,297845870,100000,300.397,254.09,39.46,5.77,1.07,0.01
kmer_P1a.egr,6662,139353211,297845870,10000,283.01,241.59,39.43,0.91,1.07,0.01
kmer_P1a.egr,4771,139353211,297845870,10000,276.984,235.65,39.36,0.89,1.07,0.01
kmer_P1a.egr,4623,139353211,297845870,10000,286.447,245.09,39.38,0.9,1.07,0.01
kmer_P1a.egr,5081,139353211,297845870,10000,294.842,253.55,39.27,0.95,1.06,0.01
kmer_P1a.egr,4698,139353211,297845870,10000,274.106,232.79,39.34,0.9,1.07,0.01
kmer_P1a.egr,50,139353211,297845870,100,274.279,233.74,39.24,0.22,1.07,0.01
kmer_P1a.egr,64,139353211,297845870,100,288.724,248.08,39.34,0.23,1.06,0.01
kmer_P1a.egr,56,139353211,297845870,100,276.743,236.16,39.27,0.23,1.06,0.01
kmer_P1a.egr,51,139353211,297845870,100,269.964,229.32,39.33,0.24,1.06,0.01
kmer_P1a.egr,58,139353211,297845870,100,278.34,237.8,39.23,0.24,1.06,0.01
kmer_P1a.egr,431,139353211,297845870,1000,273.673,233.01,39.34,0.24,1.07,0.01
kmer_P1a.egr,646,139353211,297845870,1000,272.717,232.07,39.33,0.24,1.06,0.01
kmer_P1a.egr,636,139353211,297845870,1000,276.507,235.97,39.22,0.24,1.06,0.01
kmer_P1a.egr,552,139353211,297845870,1000,274.732,234.17,39.27,0.22,1.06,0.01
kmer_P1a.egr,672,139353211,297845870,1000,274.653,233.96,39.37,0.23,1.07,0.01
