filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
kmer_U1a.egr,63581,67716231,138866824,100000,153.824,126.98,21.46,4.3,1.06,0.01
kmer_U1a.egr,60754,67716231,138866824,100000,162.397,135.89,21.44,3.99,1.06,0.01
kmer_U1a.egr,61398,67716231,138866824,100000,161.845,132.36,24.36,4.03,1.07,0.01
kmer_U1a.egr,60884,67716231,138866824,100000,151.843,125.3,21.45,4.01,1.07,0.01
kmer_U1a.egr,63634,67716231,138866824,100000,153.716,127.23,21.4,4.01,1.06,0.01
kmer_U1a.egr,6212,67716231,138866824,10000,152.5,129.22,21.31,0.89,1.07,0.01
kmer_U1a.egr,6286,67716231,138866824,10000,154.004,130.75,21.28,0.89,1.07,0.01
kmer_U1a.egr,6241,67716231,138866824,10000,158.796,133.43,23.39,0.89,1.07,0.01
kmer_U1a.egr,6283,67716231,138866824,10000,151.892,128.64,21.29,0.89,1.06,0.01
kmer_U1a.egr,6326,67716231,138866824,10000,149.945,126.69,21.29,0.89,1.06,0.01
kmer_U1a.egr,58,67716231,138866824,100,156.612,134.04,21.27,0.23,1.06,0.01
kmer_U1a.egr,62,67716231,138866824,100,149.21,126.62,21.28,0.24,1.07,0.01
kmer_U1a.egr,60,67716231,138866824,100,155.629,133.02,21.3,0.23,1.06,0.01
kmer_U1a.egr,60,67716231,138866824,100,153.112,130.26,21.54,0.23,1.07,0.01
kmer_U1a.egr,63,67716231,138866824,100,156.599,134.02,21.27,0.23,1.06,0.01
kmer_U1a.egr,634,67716231,138866824,1000,152.797,130.19,21.29,0.23,1.07,0.01
kmer_U1a.egr,624,67716231,138866824,1000,155.722,133.12,21.29,0.23,1.07,0.01
kmer_U1a.egr,650,67716231,138866824,1000,150.506,124.86,24.33,0.23,1.07,0.01
kmer_U1a.egr,625,67716231,138866824,1000,154.365,131.77,21.28,0.23,1.06,0.01
kmer_U1a.egr,614,67716231,138866824,1000,149.115,125.31,22.47,0.25,1.07,0.01
