filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
kmer_V1r.egr,76970,214005017,465410920,100000,376.174,311.38,56.28,7.43,1.07,0.01
kmer_V1r.egr,76427,214005017,465410920,100000,366.017,300.77,56.71,7.46,1.07,0.01
kmer_V1r.egr,76176,214005017,465410920,100000,370.182,305.29,56.39,7.42,1.07,0.01
kmer_V1r.egr,76660,214005017,465410920,100000,370.796,305.85,56.44,7.42,1.07,0.01
kmer_V1r.egr,76697,214005017,465410920,100000,365.762,300.82,56.4,7.47,1.06,0.01
kmer_V1r.egr,7727,214005017,465410920,10000,377.806,319.37,56.48,0.87,1.07,0.01
kmer_V1r.egr,7647,214005017,465410920,10000,393.967,335.63,56.39,0.87,1.06,0.01
kmer_V1r.egr,7612,214005017,465410920,10000,367.658,309.21,56.47,0.9,1.07,0.01
kmer_V1r.egr,7677,214005017,465410920,10000,364.874,306.62,56.27,0.9,1.07,0.01
kmer_V1r.egr,7646,214005017,465410920,10000,362.123,304.19,55.96,0.89,1.06,0.01
kmer_V1r.egr,84,214005017,465410920,100,364.901,307.35,56.26,0.21,1.07,0.01
kmer_V1r.egr,82,214005017,465410920,100,364.739,307.33,56.12,0.21,1.07,0.01
kmer_V1r.egr,75,214005017,465410920,100,360.835,303.32,56.23,0.21,1.06,0.01
kmer_V1r.egr,78,214005017,465410920,100,372.118,314.4,56.41,0.23,1.07,0.01
kmer_V1r.egr,77,214005017,465410920,100,370.72,312.9,56.52,0.23,1.06,0.01
kmer_V1r.egr,767,214005017,465410920,1000,365.434,307.79,56.32,0.23,1.07,0.01
kmer_V1r.egr,772,214005017,465410920,1000,366.44,308.67,56.45,0.23,1.07,0.01
kmer_V1r.egr,764,214005017,465410920,1000,363.804,306.1,56.39,0.23,1.06,0.01
kmer_V1r.egr,742,214005017,465410920,1000,377.616,320.26,56.04,0.24,1.07,0.01
kmer_V1r.egr,783,214005017,465410920,1000,355.909,298.56,56.04,0.24,1.07,0.01
