filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
kmer_V2a.egr,41210,55042369,117248284,100000,124.914,104.21,15.86,3.77,1.07,0.01
kmer_V2a.egr,42258,55042369,117248284,100000,122.806,102.11,15.68,3.93,1.07,0.01
kmer_V2a.egr,17031,55042369,117248284,100000,131.688,105.85,21.05,3.7,1.08,0.01
kmer_V2a.egr,25086,55042369,117248284,100000,129.9,111.73,16.17,0.92,1.07,0.01
kmer_V2a.egr,16002,55042369,117248284,100000,127.328,105.2,17.29,3.76,1.07,0.01
kmer_V2a.egr,2086,55042369,117248284,10000,119.817,102.13,15.72,0.88,1.08,0.01
kmer_V2a.egr,4463,55042369,117248284,10000,127.865,109.01,16.88,0.89,1.07,0.01
kmer_V2a.egr,4519,55042369,117248284,10000,135.144,111.98,21.18,0.89,1.08,0.01
kmer_V2a.egr,2520,55042369,117248284,10000,122.115,102.91,17.24,0.89,1.07,0.01
kmer_V2a.egr,4366,55042369,117248284,10000,126.776,103.61,21.18,0.89,1.08,0.01
kmer_V2a.egr,25,55042369,117248284,100,121.883,104.99,15.59,0.22,1.07,0.01
kmer_V2a.egr,22,55042369,117248284,100,126.065,104.66,20.09,0.23,1.08,0.01
kmer_V2a.egr,22,55042369,117248284,100,121.033,104.16,15.57,0.23,1.07,0.01
kmer_V2a.egr,23,55042369,117248284,100,124.339,106.85,16.18,0.24,1.06,0.01
kmer_V2a.egr,46,55042369,117248284,100,123.08,106.18,15.59,0.23,1.07,0.01
kmer_V2a.egr,323,55042369,117248284,1000,124.557,107.51,15.73,0.23,1.07,0.01
kmer_V2a.egr,381,55042369,117248284,1000,125.741,108.86,15.57,0.23,1.07,0.01
kmer_V2a.egr,301,55042369,117248284,1000,130.444,109.17,19.95,0.23,1.08,0.01
kmer_V2a.egr,301,55042369,117248284,1000,129.338,107.06,20.96,0.23,1.08,0.01
kmer_V2a.egr,378,55042369,117248284,1000,120.708,103.35,16.04,0.24,1.07,0.01
