filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
ljournal-2008.egr,5446,5363260,99028690,100000,18.5532,15.28,1.54,1.07,0.65,0.01
ljournal-2008.egr,4258,5363260,99028690,100000,18.542,14.99,1.83,1.07,0.65,0.01
ljournal-2008.egr,4374,5363260,99028690,100000,19.6045,15.69,2.18,1.07,0.65,0.01
ljournal-2008.egr,5418,5363260,99028690,100000,19.6031,15.53,2.35,1.06,0.65,0.01
ljournal-2008.egr,3931,5363260,99028690,100000,19.6046,15.73,2.14,1.07,0.65,0.01
ljournal-2008.egr,505,5363260,99028690,10000,26.2239,22.41,1.77,1.07,0.96,0.01
ljournal-2008.egr,523,5363260,99028690,10000,18.5422,15.48,1.33,1.07,0.65,0.01
ljournal-2008.egr,516,5363260,99028690,10000,19.5886,16.02,1.84,1.07,0.65,0.01
ljournal-2008.egr,533,5363260,99028690,10000,18.5286,15.19,1.62,1.06,0.65,0.01
ljournal-2008.egr,528,5363260,99028690,10000,19.594,16.16,1.71,1.07,0.65,0.01
ljournal-2008.egr,8,5363260,99028690,100,21.8432,18.73,1.24,1.07,0.79,0.01
ljournal-2008.egr,5,5363260,99028690,100,17.4912,15.28,0.48,1.07,0.65,0.01
ljournal-2008.egr,3,5363260,99028690,100,18.5285,15.92,0.89,1.06,0.64,0.01
ljournal-2008.egr,10,5363260,99028690,100,18.5344,16.37,0.43,1.07,0.65,0.01
ljournal-2008.egr,7,5363260,99028690,100,17.4895,14.98,0.78,1.07,0.65,0.01
ljournal-2008.egr,45,5363260,99028690,1000,18.5406,16.13,0.68,1.07,0.65,0.01
ljournal-2008.egr,49,5363260,99028690,1000,22.964,19.99,1.03,1.08,0.86,0.01
ljournal-2008.egr,53,5363260,99028690,1000,18.5373,16.32,0.5,1.06,0.65,0.01
ljournal-2008.egr,42,5363260,99028690,1000,25.1662,22.21,0.92,1.08,0.95,0.01
ljournal-2008.egr,53,5363260,99028690,1000,18.5442,15.9,0.92,1.07,0.65,0.01
