filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
rgg_n_2_24_s0.egr,10466,16777216,265114402,100000,45.4105,38.72,3.35,2.25,1.07,0.01
rgg_n_2_24_s0.egr,11652,16777216,265114402,100000,49.4008,41.48,4.2,2.63,1.08,0.01
rgg_n_2_24_s0.egr,8647,16777216,265114402,100000,41.8154,35.86,2.91,1.96,1.07,0.01
rgg_n_2_24_s0.egr,9922,16777216,265114402,100000,43.1365,32.56,3.18,6.31,1.08,0.01
rgg_n_2_24_s0.egr,9355,16777216,265114402,100000,37.6485,31.74,2.95,1.87,1.07,0.01
rgg_n_2_24_s0.egr,1142,16777216,265114402,10000,55.6184,48.85,4.11,1.58,1.07,0.01
rgg_n_2_24_s0.egr,1069,16777216,265114402,10000,35.5302,30.21,2.95,1.29,1.07,0.01
rgg_n_2_24_s0.egr,781,16777216,265114402,10000,41.8904,36.8,3.01,1.0,1.07,0.01
rgg_n_2_24_s0.egr,472,16777216,265114402,10000,45.192,38.48,4.19,1.43,1.08,0.01
rgg_n_2_24_s0.egr,751,16777216,265114402,10000,38.7553,32.84,3.03,1.82,1.06,0.01
rgg_n_2_24_s0.egr,8,16777216,265114402,100,44.713,39.17,3.72,0.73,1.08,0.01
rgg_n_2_24_s0.egr,18,16777216,265114402,100,37.689,32.54,3.0,1.07,1.07,0.01
rgg_n_2_24_s0.egr,15,16777216,265114402,100,37.5574,32.85,2.87,0.76,1.06,0.01
rgg_n_2_24_s0.egr,13,16777216,265114402,100,44.0437,38.31,4.1,0.54,1.07,0.01
rgg_n_2_24_s0.egr,16,16777216,265114402,100,38.7055,33.46,2.97,1.19,1.07,0.01
rgg_n_2_24_s0.egr,110,16777216,265114402,1000,35.7646,30.04,4.21,0.42,1.08,0.01
rgg_n_2_24_s0.egr,39,16777216,265114402,1000,37.7694,32.89,3.08,0.72,1.07,0.01
rgg_n_2_24_s0.egr,104,16777216,265114402,1000,44.571,38.89,3.59,1.01,1.07,0.01
rgg_n_2_24_s0.egr,88,16777216,265114402,1000,51.4702,45.68,4.18,0.52,1.07,0.01
rgg_n_2_24_s0.egr,116,16777216,265114402,1000,59.8838,53.67,4.19,0.94,1.07,0.01
