filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
road_usa.egr,24508,23947347,57708624,100000,57.857,48.62,5.29,2.85,1.08,0.01
road_usa.egr,24576,23947347,57708624,100000,60.998,52.77,5.29,1.84,1.08,0.01
road_usa.egr,36730,23947347,57708624,100000,62.072,52.63,5.29,3.05,1.08,0.02
road_usa.egr,12432,23947347,57708624,100000,55.7324,46.82,5.28,2.54,1.08,0.01
road_usa.egr,14317,23947347,57708624,100000,56.8004,48.01,5.29,2.41,1.08,0.01
road_usa.egr,3796,23947347,57708624,10000,62.0663,51.84,5.28,3.84,1.08,0.01
road_usa.egr,3783,23947347,57708624,10000,54.1214,45.12,4.7,3.21,1.08,0.01
road_usa.egr,1849,23947347,57708624,10000,53.6312,44.64,5.29,2.61,1.07,0.02
road_usa.egr,3628,23947347,57708624,10000,60.9787,52.34,5.28,2.26,1.08,0.01
road_usa.egr,3005,23947347,57708624,10000,63.1088,53.29,5.28,3.45,1.08,0.01
road_usa.egr,28,23947347,57708624,100,65.1799,57.7,5.28,1.11,1.08,0.01
road_usa.egr,29,23947347,57708624,100,57.8275,50.88,5.28,0.58,1.07,0.01
road_usa.egr,16,23947347,57708624,100,60.9589,53.62,5.27,0.99,1.07,0.01
road_usa.egr,16,23947347,57708624,100,46.9643,40.53,4.92,0.44,1.07,0.01
road_usa.egr,18,23947347,57708624,100,58.8695,52.03,5.28,0.47,1.07,0.01
road_usa.egr,67,23947347,57708624,1000,56.7734,49.81,5.28,0.59,1.07,0.02
road_usa.egr,234,23947347,57708624,1000,59.9278,52.42,5.28,1.14,1.08,0.01
road_usa.egr,297,23947347,57708624,1000,59.9297,52.71,5.28,0.84,1.08,0.02
road_usa.egr,173,23947347,57708624,1000,59.9327,52.41,5.28,1.16,1.07,0.01
road_usa.egr,225,23947347,57708624,1000,58.9387,51.61,5.33,0.91,1.08,0.01
