filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
soc-LiveJournal1.egr,5313,4847571,85706224,100000,18.4734,15.17,1.65,1.06,0.58,0.01
soc-LiveJournal1.egr,5488,4847571,85706224,100000,19.6484,15.7,2.3,1.06,0.58,0.01
soc-LiveJournal1.egr,5456,4847571,85706224,100000,18.4806,15.04,1.79,1.07,0.58,0.01
soc-LiveJournal1.egr,5317,4847571,85706224,100000,18.4811,14.69,2.14,1.06,0.58,0.01
soc-LiveJournal1.egr,5390,4847571,85706224,100000,18.481,15.11,1.71,1.07,0.58,0.01
soc-LiveJournal1.egr,545,4847571,85706224,10000,17.419,14.68,1.09,1.07,0.58,0.01
soc-LiveJournal1.egr,551,4847571,85706224,10000,18.4571,15.13,1.68,1.06,0.58,0.01
soc-LiveJournal1.egr,560,4847571,85706224,10000,18.4589,15.0,1.81,1.06,0.57,0.01
soc-LiveJournal1.egr,521,4847571,85706224,10000,18.4677,15.16,1.65,1.07,0.58,0.01
soc-LiveJournal1.egr,446,4847571,85706224,10000,18.4641,15.34,1.47,1.07,0.58,0.01
soc-LiveJournal1.egr,9,4847571,85706224,100,17.411,14.6,1.16,1.06,0.58,0.01
soc-LiveJournal1.egr,9,4847571,85706224,100,18.4681,16.04,0.78,1.06,0.58,0.01
soc-LiveJournal1.egr,4,4847571,85706224,100,16.3585,14.45,0.26,1.06,0.58,0.01
soc-LiveJournal1.egr,8,4847571,85706224,100,18.4624,15.87,0.93,1.06,0.58,0.01
soc-LiveJournal1.egr,7,4847571,85706224,100,17.4145,15.23,0.52,1.07,0.58,0.01
soc-LiveJournal1.egr,44,4847571,85706224,1000,17.4077,14.89,0.87,1.06,0.58,0.01
soc-LiveJournal1.egr,57,4847571,85706224,1000,17.412,15.15,0.6,1.06,0.58,0.01
soc-LiveJournal1.egr,53,4847571,85706224,1000,17.4188,15.12,0.64,1.06,0.58,0.01
soc-LiveJournal1.egr,61,4847571,85706224,1000,16.3619,14.49,0.22,1.06,0.58,0.01
soc-LiveJournal1.egr,71,4847571,85706224,1000,17.41,15.12,0.64,1.06,0.58,0.01
