filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
sx-stackoverflow.egr,4086,2601977,56414194,100000,13.0549,10.37,1.2,1.07,0.41,0.01
sx-stackoverflow.egr,3995,2601977,56414194,100000,13.0623,10.41,1.16,1.07,0.42,0.01
sx-stackoverflow.egr,3881,2601977,56414194,100000,13.0504,10.53,1.03,1.06,0.42,0.01
sx-stackoverflow.egr,3890,2601977,56414194,100000,13.0513,10.33,1.24,1.06,0.42,0.01
sx-stackoverflow.egr,4248,2601977,56414194,100000,14.1131,10.65,1.97,1.07,0.42,0.01
sx-stackoverflow.egr,384,2601977,56414194,10000,13.0455,10.44,1.12,1.06,0.42,0.01
sx-stackoverflow.egr,406,2601977,56414194,10000,13.0523,10.34,1.22,1.06,0.42,0.01
sx-stackoverflow.egr,398,2601977,56414194,10000,14.1025,10.87,1.74,1.07,0.42,0.01
sx-stackoverflow.egr,421,2601977,56414194,10000,14.1,11.5,1.11,1.06,0.42,0.01
sx-stackoverflow.egr,419,2601977,56414194,10000,14.098,10.95,1.67,1.06,0.41,0.01
sx-stackoverflow.egr,4,2601977,56414194,100,11.9911,10.18,0.33,1.06,0.41,0.01
sx-stackoverflow.egr,6,2601977,56414194,100,13.0473,10.49,1.07,1.06,0.42,0.01
sx-stackoverflow.egr,4,2601977,56414194,100,13.0402,10.32,1.23,1.06,0.41,0.01
sx-stackoverflow.egr,5,2601977,56414194,100,13.0433,10.82,0.73,1.06,0.42,0.01
sx-stackoverflow.egr,4,2601977,56414194,100,11.9959,9.54,0.97,1.06,0.41,0.01
sx-stackoverflow.egr,40,2601977,56414194,1000,13.0353,10.55,1.01,1.06,0.41,0.01
sx-stackoverflow.egr,38,2601977,56414194,1000,13.0524,10.5,1.06,1.07,0.41,0.01
sx-stackoverflow.egr,36,2601977,56414194,1000,13.0591,10.37,1.2,1.07,0.42,0.01
sx-stackoverflow.egr,43,2601977,56414194,1000,13.0514,10.5,1.06,1.07,0.41,0.01
sx-stackoverflow.egr,51,2601977,56414194,1000,13.0479,10.6,0.95,1.07,0.42,0.01
