filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
uk-2002.egr,1604,18520486,523651232,100000,38.8106,32.59,3.04,2.09,1.07,0.01
uk-2002.egr,1329,18520486,523651232,100000,32.2099,26.43,2.75,1.94,1.07,0.01
uk-2002.egr,1421,18520486,523651232,100000,32.2303,26.05,2.77,2.33,1.07,0.01
uk-2002.egr,1539,18520486,523651232,100000,31.158,25.58,2.76,1.74,1.07,0.01
uk-2002.egr,1502,18520486,523651232,100000,32.1949,26.46,2.75,1.91,1.06,0.01
uk-2002.egr,160,18520486,523651232,10000,37.8165,31.95,3.11,1.67,1.08,0.01
uk-2002.egr,158,18520486,523651232,10000,31.1508,25.66,2.75,1.66,1.06,0.01
uk-2002.egr,156,18520486,523651232,10000,34.3126,28.27,2.77,2.19,1.07,0.01
uk-2002.egr,102,18520486,523651232,10000,33.2397,25.77,3.78,2.59,1.08,0.02
uk-2002.egr,143,18520486,523651232,10000,36.4907,28.48,2.84,4.1,1.06,0.01
uk-2002.egr,4,18520486,523651232,100,35.3392,30.22,3.78,0.24,1.08,0.02
uk-2002.egr,2,18520486,523651232,100,31.1421,26.27,2.76,1.03,1.07,0.01
uk-2002.egr,3,18520486,523651232,100,38.9144,33.82,3.17,0.84,1.07,0.01
uk-2002.egr,2,18520486,523651232,100,38.4787,33.3,3.78,0.3,1.08,0.01
uk-2002.egr,1,18520486,523651232,100,30.0939,25.76,2.76,0.5,1.06,0.01
uk-2002.egr,18,18520486,523651232,1000,33.2283,28.5,2.75,0.9,1.06,0.01
uk-2002.egr,11,18520486,523651232,1000,32.2459,28.05,2.8,0.31,1.07,0.01
uk-2002.egr,18,18520486,523651232,1000,41.3012,35.9,3.45,0.86,1.07,0.01
uk-2002.egr,16,18520486,523651232,1000,33.304,28.58,2.81,0.84,1.07,0.01
uk-2002.egr,15,18520486,523651232,1000,40.1692,34.9,3.37,0.82,1.08,0.01
