filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
web-BerkStan.egr,1942,685230,13300290,100000,7.62656,4.56,1.76,1.06,0.23,0.01
web-BerkStan.egr,1079,685230,13300290,100000,7.63605,4.39,1.93,1.07,0.23,0.01
web-BerkStan.egr,1610,685230,13300290,100000,7.62567,4.52,1.8,1.06,0.24,0.01
web-BerkStan.egr,466,685230,13300290,100000,7.62845,4.41,1.91,1.06,0.24,0.01
web-BerkStan.egr,1355,685230,13300290,100000,7.62453,4.46,1.85,1.07,0.23,0.01
web-BerkStan.egr,94,685230,13300290,10000,7.6205,4.49,1.83,1.06,0.24,0.01
web-BerkStan.egr,39,685230,13300290,10000,7.62227,4.53,1.79,1.06,0.23,0.01
web-BerkStan.egr,28,685230,13300290,10000,7.62403,4.48,1.83,1.07,0.24,0.01
web-BerkStan.egr,159,685230,13300290,10000,7.61837,4.45,1.86,1.07,0.23,0.01
web-BerkStan.egr,34,685230,13300290,10000,7.61963,4.53,1.78,1.07,0.23,0.01
web-BerkStan.egr,2,685230,13300290,100,6.60601,4.57,0.7,1.06,0.27,0.01
web-BerkStan.egr,2,685230,13300290,100,6.57374,4.51,0.75,1.07,0.24,0.01
web-BerkStan.egr,1,685230,13300290,100,6.57641,4.58,0.69,1.07,0.24,0.01
web-BerkStan.egr,1,685230,13300290,100,6.57546,4.57,0.7,1.07,0.23,0.01
web-BerkStan.egr,3,685230,13300290,100,6.56105,4.47,0.79,1.06,0.23,0.01
web-BerkStan.egr,13,685230,13300290,1000,6.5685,4.55,0.72,1.06,0.24,0.01
web-BerkStan.egr,16,685230,13300290,1000,6.57002,4.51,0.75,1.07,0.23,0.01
web-BerkStan.egr,11,685230,13300290,1000,6.57214,4.5,0.76,1.07,0.23,0.01
web-BerkStan.egr,15,685230,13300290,1000,6.56623,4.52,0.75,1.06,0.23,0.01
web-BerkStan.egr,6,685230,13300290,1000,6.57173,4.59,0.68,1.06,0.23,0.01
